155,聖☆おにいさん,Saint☆Oniisan (Movie),2013.05.10 - 2013.05.10,,1,https://cdn.myanimelist.net/images/anime/7/48723.jpg,Saint☆Young Men (Movie)
156,魔界天使ジブリール,Makai Tenshi Djibril,2004.11.26 - 2005.06.24,,4,https://cdn.myanimelist.net/images/anime/12/37381.jpg,Jiburiru: The Devil Angel
157,スーパーナチュラル・ザ・アニメーション,Supernatural The Animation,2011.02.23 - 2011.04.27,,22,https://cdn.myanimelist.net/images/anime/8/37135.jpg,
158,相姦遊戯,Soukan Yuugi,2007.08.10 - 2007.11.09,,2,https://cdn.myanimelist.net/images/anime/8/41621.jpg,Sexual Pursuit
159,アンドロメダ・ストーリーズ,Andromeda Stories,1982.08.22 - 1982.08.22,,1,https://cdn.myanimelist.net/images/anime/8/75156.jpg,
160,放課後Initiation,Houkago Initiation,2016.06.17 - 2016.09.02,,2,https://cdn.myanimelist.net/images/anime/2/81362.jpg,
161,ACCA 13区監察課,ACCA: 13-ku Kansatsu-ka,2017.01.10 - 2017.03.28,,12,https://cdn.myanimelist.net/images/anime/3/83776.jpg,ACCA: 13-Territory Inspection Dept.
162,新世紀ＧＰＸサイバーフォーミュラ EARLYDAYS RENEWAL,Future GPX Cyber Formula: Early Days Renewal,1996.04.01 - 1996.06.01,,2,https://cdn.myanimelist.net/images/anime/3/4090.jpg,
163,電脳戦隊ヴギィ&#039;ズ★エンジェル外伝 進め! スーパー★エンジェルス!,Dennou Sentai Voogie&#039;s★Angel Gaiden: Susume! Super★Angels!,1998.08.21 - 1998.09.19,,2,https://cdn.myanimelist.net/images/anime/2/61707.jpg,
164,悟空の大冒険,Gokuu no Daibouken,1967.01.07 - 1967.09.30,,39,https://cdn.myanimelist.net/images/anime/7/53219.jpg,Adventures of the Monkey King
165,キティとダニエルのすてきなクリスマス,Kitty to Daniel no Suteki na Christmas,1992.11.01 - 1992.11.01,,1,https://cdn.myanimelist.net/images/anime/5/70985.jpg,
166,アリスと蔵六,Alice to Zouroku,2017.04.02 - 2017.06.25,,12,https://cdn.myanimelist.net/images/anime/2/84598.jpg,Alice & Zoroku
167,みっちりねこ,Micchiri Neko,2018.01.04 - 2018.03.26,,13,https://cdn.myanimelist.net/images/anime/7/89947.jpg,Mitchiri Neko
168,スレイヤーズ,Slayers,1995.04.07 - 1995.09.29,,26,https://cdn.myanimelist.net/images/anime/6/19870.jpg,Slayers
169,正解するカド,Seikaisuru Kado,2017.04.07 - 2017.06.30,,12,https://cdn.myanimelist.net/images/anime/3/85255.jpg,KADO: The Right Answer
